family,genetic_leg_source,design_as_stated,iv_estimate,has_ci,verdict,note
Homocysteine,PMID 22363213,"When folate levels are low, the TT genotype of the common C677T polymorphism (rs1801133) of the methylene tetrahydrofolate reductase gene (MTHFR) appreciably increases homocysteine levels, so ""Mendelian randomization"" studies using this variant as an instrumental variable could help test causality",yes,yes,MR-instrumented,"Clarke 2012 PLoS Med; OR 1.02 (0.98-1.07) TT vs CC matches the classifier exactly. The source frames and computes the design as MR with MTHFR C677T as the instrument for homocysteine (stating the expected ~20% higher homocysteine in TT), so it is not a bare genotype-disease association; the reported figure is nonetheless the unscaled TT-vs-CC genotype contrast, not an effect per unit homocysteine."
CRP,PMID 19567438,"We carried out a mendelian randomization study of the most closely associated single-nucleotide polymorphism (SNP) in the CRP locus and published data on other CRP variants involving a total of 28,112 cases and 100,823 controls, to investigate the association of CRP variants with coronary heart disease. We compared our finding with that predicted from meta-analysis of observational studies of CRP levels and risk of coronary heart disease",yes,yes,MR-instrumented,Elliott 2009 JAMA; classifier holds OR 1.00 (0.97-1.02) per 20% lower CRP.
LDL/PCSK9,PMID 24474739,To investigate the causal role of high-density lipoprotein cholesterol (HDL-C) and triglycerides in coronary heart disease (CHD) using multiple instrumental variables for Mendelian randomization,yes,yes,MR-instrumented,"Holmes 2015 Eur Heart J; weighted allele scores as instruments. The abstract states that both the unrestricted and restricted LDL-C scores (42 and 19 SNPs) associated with CHD but does not print the classifier's 1.78 (1.58-2.01) per 1 mmol/L, which was not verified against the full text."
Blood pressure,PMID 32611631,"We employed Mendelian randomization to explore whether the effects of blood pressure (BP) and BP-lowering through different antihypertensive drug classes on stroke risk vary by stroke etiology ... Applying 2-sample Mendelian randomization, we examined associations with any stroke (67,162 cases; 454,450 controls)",yes,yes,MR-instrumented,"Georgakis 2020 Neurology; classifier holds OR 1.44 (1.35-1.55) per 10 mmHg SBP for any stroke, a figure not printed in the abstract."
Triglycerides,PMID 24474739,To investigate the causal role of high-density lipoprotein cholesterol (HDL-C) and triglycerides in coronary heart disease (CHD) using multiple instrumental variables for Mendelian randomization,yes,yes,MR-instrumented,"Holmes 2015 Eur Heart J; the unrestricted triglyceride allele score (67 SNPs) gives OR 1.62 (95% CI 1.24-2.11) per 1-log unit, matching the classifier exactly."
IL-23-psoriasis,PMID 22706445,"We conducted a meta-analysis to examine the association between the IL23R rs11209026 (Q381R), rs7530511 (L310P), and rs2201841 polymorphisms and psoriasis/PsA",no,yes,association,"Zhu 2012 Inflamm Res. The value used, OR 0.616 (0.563-0.674), is the minor-allele OR of rs11209026 for psoriasis, quoted verbatim from the meta-analysis. No exposure is instrumented and no IV estimate is computed; the paper's conclusion is 'a significant association between IL23R gene polymorphisms and psoriasis/PsA'."
CTLA-4-RA,PMID 19404967,"The aim of the present study was to independently replicate 3 recently described RA susceptibility loci, STAT4, IL2/IL21, and CTLA4, in a large Dutch case-control cohort, and to perform a meta-analysis of all published studies to date",no,yes,association,"Daha 2009 Arthritis Rheum. A case-control replication plus allele-level meta-analysis of CTLA4 rs3087243; the abstract reports OR 0.87 (Dutch) and 0.91 (meta-analysis), against the classifier's 0.86 (0.78-0.95), which is not printed in the abstract. No exposure, no instrument, no IV estimate."
TNF-a-RA,PMID 40618325,A Mendelian randomization (MR) analysis was conducted to investigate the causal effects of druggable expression quantitative trait loci (eQTLs) in the blood on RA,yes,no,MR-instrumented,"Li/Liu 2025 Postgrad Med J; a druggable-genome MR. The classifier records OR 1.00 with no CI, i.e. a null read-off rather than a quoted interval: TNF is not among the five genes (CCR6, CTLA4, EDN3, FCRL3, STAT4) the paper reports as causally related to RA, and no TNF estimate with a CI is quoted in the classifier or the supplementary table."
IL-17-psoriasis,PMID 33188428,"A two-sample Mendelian randomization (MR) analysis was performed using the inverse-variance weighted (IVW), weighted median and MR-Egger regression methods ... Single-nucleotide polymorphisms (SNPs) at genome-wide significance from GWASs on TNF-alpha, IL-12p70 and IL-17 were identified as the instrumental variables",yes,no,MR-instrumented,"Wu 2021 Rheumatology. The design is an IV analysis, but the source reports betas with standard errors (IVW beta = -0.00186 per allele, s.e. 0.00043), not an OR with a confidence interval, and the outcome is psoriatic arthritis rather than psoriasis. The classifier's 0.998 carries no CI, so the family fails the 'with a confidence interval' half of the Procedure 4 rule."
JAK-STAT-RA,PMID 19479340,we conducted a meta-analysis of all relevant reports published before September 2008. Studies on STAT4 rs7574865 single nucleotide polymorphism (SNP) of RA and SLE were identified using PubMed ... The overall ORs for the minor T allele of STAT4 rs7574865 SNP were 1.27 (95% CI 1.20-1.34) in RA,no,yes,association,"Lee 2010 Mol Biol Rep. The value used, OR 1.27 (1.20-1.34), is the minor-allele variant-disease OR, matching the classifier exactly. No exposure is instrumented."
CD20-RA,"SSRN 4709115 (preprint, 2024)","Located by literature search: ""genetically predicted higher FCRL3 protein expression ... OR 1.291 (95% CI 1.190-1.391), p = 1.17e-10"" (protein-expression MR with colocalization). Preprint not indexed in PubMed; number not verified by direct read.",yes,yes,MR-instrumented,"The two repository files name different sources of different kinds: paper/supplementary_data.csv says 'FCRL3 proteomics MR (SSRN 4709115)', while the classifier comment in analysis/classifier/classify_families.py says 'FCRL3 GWAS OR 2.15 (Kochi 2005, Nature Genetics)'. The SSRN preprint is not indexed in PubMed or Europe PMC and publisher pages were out of scope for this audit; Kochi 2005's OR 2.15 does not match the value used, 1.291 (1.19-1.391). The design cannot be settled from the cited record. | Located after the audit by literature search; exposure is plasma FCRL3, not CD20 (MS4A1)."
IL-1b-CVD,PMID 32223966,"We conducted a Mendelian randomization study to investigate the associations of circulating ILs with coronary artery disease (CAD), atrial fibrillation (AF), and ischemic stroke. Single-nucleotide polymorphisms associated with IL-1beta, IL-1 receptor antagonist (IL-1ra) ... were identified from genome-wide association studies",yes,yes,MR-instrumented,"Yuan/Larsson 2020 Int J Cardiol. The cited source is an IV design reporting ORs with CIs (IL-1ra 1.36 (1.14-1.63) per SD), but the classifier holds OR 1.00 with no CI for this family and reports IL-1beta as not associated with any outcome, so the family carries no interval of its own."
VitD-Cancer,PMID 36678292,"To mitigate confounding, genetic instrumental variables (IVs) have been used to estimate causal associations between 25-hydroxivtamin D and cancer risk via Mendelian randomization (MR). We provide a systematic review of 31 MR studies",yes,yes,MR-instrumented,"Lawler 2023 Nutrients; colorectal cancer 0.97 (0.88-1.07) per 1-SD increase, matching the classifier exactly."
IGF1-CRC,PMID 32717139,We used 416 single-nucleotide polymorphisms robustly associated with serum IGF-1 levels to assess the potential causal associations between this hormone and site-specific cancers through Mendelian randomization,yes,yes,MR-instrumented,"Larsson 2020 Cancer Med; BioBank Japan colorectal OR 1.22 (1.09-1.36) per SD, matching the classifier exactly."
Estrogen-BC,PMID 36209141,We used a two-sample Mendelian randomization analysis to investigate this association ... Genetic instruments for nine sex steroid hormones and sex hormone-binding globulin (SHBG) were obtained from genome-wide association studies,yes,yes,MR-instrumented,"Nounu 2022 Breast Cancer Res; estradiol per SD on overall breast cancer OR 1.03 (1.01-1.06), matching the classifier exactly."
Eos/IL5-Asthma,PMID 35537820,"We performed Mendelian randomisation (MR) using 151 variants from genome-wide association studies of blood eosinophils in UK Biobank/INTERVAL, and respiratory traits in UK Biobank/SpiroMeta",yes,yes,MR-instrumented,"Guyatt 2023 Thorax; moderate-severe asthma weighted median OR 1.50 (1.23-1.83) per SD eosinophils, matching the classifier exactly."
SGLT2-HF,PMID 38725835,"Applying a two-sample, two-step Mendelian Randomization (MR) analysis, we aimed to estimate: (1) the causal impact of SGLT2 inhibition on HF ... Genetic variants linked to SGLT2 inhibition derived from the previous studies",yes,yes,MR-instrumented,"Luo 2024 Front Cardiovasc Med (PMC11079590, the identifier the classifier comment gives); drug-target MR, OR 0.44 (0.26-0.76), matching the classifier exactly."
Urate-Gout,PMID 30645594,"We used Mendelian randomization (MR) methods to evaluate the presence of a causal effect ... the same MR approaches showed that SU has a causal effect on the risk of gout (OR estimates ranging from 3.41 to 6.04 per 1-mg/dl increase in SU, all P < 10-3), which served as a positive control of our approach",yes,yes,MR-instrumented,"PMC6333326 is Jordan 2019 PLoS Med, not 'Li 2019' as the classifier comment states. The gout figures the classifier rescales (3.41-6.04 per 1 mg/dL) are the paper's positive control; the paper's own headline result is a null effect of urate on chronic kidney disease."
IL6-MDD,"PMID:36057695 (Galan 2022, Sci Rep)","""We did not find evidence for a reciprocal relationship between CRP levels (using > 500 genetic instruments for CRP) and depression (OR CRP-Dep = 1.01, 95% CI 0.99-1.04 ...)"" (bidirectional two-sample MR; Table 3: CRP -> Depression, 512 SNPs, OR 1.01, 0.99-1.04)",yes,yes,MR-instrumented,"Source identified after the audit by the Amendment 5 IL6-MDD search (analysis/amendment5/il6_mdd/); polygenic CRP MR, not the IL6R-region instrument Amendment 2 declared (that deviation is handled by the registration-consistent-instrument row)."
Complement-GA,PMID 16905558,We performed a meta-analysis to estimate the magnitude of the gene effect and the possible mode of action. A meta-analysis of eight studies assessing association between the CFH Y402H polymorphism and AMD was performed,no,yes,association,"Thakkinstian 2006 Hum Mol Genet; a genotype-disease meta-analysis ('those having CC and TC genotypes being roughly six and 2.5 times more likely to have AMD than patients with TT genotype'). No exposure is instrumented, and Amendment 5 names this family as a known failure of the MR-instrumented rule."
Sclerostin-Fracture,PMID 32581134,"investigate whether genetic variants that mimic therapeutic inhibition of sclerostin are associated with higher risk of cardiovascular disease ... Scaled to the equivalent dose of romosozumab (210 milligrams per month; 0.09 grams per square centimeter of higher bone mineral density), the SOST genetic variants were associated with lower risk of fracture and osteoporosis",yes,yes,MR-instrumented,Bovijn 2020 Sci Transl Med; drug-target MR scaled to the romosozumab-equivalent dose. Classifier holds fracture OR 0.59 (0.54-0.66).
Serotonin-MDD,PMID 20380781,"We applied meta-analytic techniques to data from relevant published studies, and obtained an estimate of the likely magnitude of effect of any association ... Meta-analysis indicated evidence of a small but statistically significant association between the 5-HTTLPR polymorphism and unipolar depression [odds ratio (OR) 1.08, 95% confidence interval (CI) 1.03-1.12]",no,yes,association,Clarke 2010 Psychol Med; matches the classifier exactly. A genotype-disease meta-analysis with no exposure instrumented; Amendment 5 names this family as a known failure of the MR-instrumented rule.
